!SIL 1.0	sil
<UNK> 1.0	spn
gành 1.0	g a f n h
gào 1.0	g a f o
gàu 1.0	g a f u
gác 1.0	g a s c
gái 1.0	g a s i
gán 1.0	g a s n
gánh 1.0	g a s n h
gáo 1.0	g a s o
gáp 1.0	g a s p
gáy 1.0	g a s y
gân 1.0	g a a n
gây 1.0	g a a y
gã 1.0	g a x
gãi 1.0	g a x i
gãy 1.0	g a x y
gì 1.0	g i f
gìn 1.0	g i f n
gí 1.0	g i s
gò 1.0	g o f
gòn 1.0	g o f n
góa 1.0	g o s a
góc 1.0	g o s c
gói 1.0	g o s i
góp 1.0	g o s p
gót 1.0	g o s t
gô 1.0	g o o
gôn 1.0	g o o n
gông 1.0	g o o n g
gõ 1.0	g o x
gù 1.0	g u f
gú 1.0	g u s
gút 1.0	g u s t
găm 1.0	g a w m
gũi 1.0	g u x i
gươm 1.0	g u w o w m
gương 1.0	g u w o w n g
gườm 1.0	g u w o w f m
gường 1.0	g u w o w f n g
gượng 1.0	g u w o w j n g
gạ 1.0	g a j
gạch 1.0	g a j c h
gạn 1.0	g a j n
gạo 1.0	g a j o
gạt 1.0	g a j t
gả 1.0	g a r
gảy 1.0	g a r y
gấp 1.0	g a a s p
gấu 1.0	g a a s u
gấy 1.0	g a a s y
gầm 1.0	g a a f m
gần 1.0	g a a f n
gầu 1.0	g a a f u
gầy 1.0	g a a f y
gẫm 1.0	g a a x m
gẫu 1.0	g a a x u
gập 1.0	g a a j p
gật 1.0	g a a j t
gậy 1.0	g a a j y
gắm 1.0	g a w s m
gắn 1.0	g a w s n
gắng 1.0	g a w s n g
gắp 1.0	g a w s p
gắt 1.0	g a w s t
gằn 1.0	g a w f n
gặm 1.0	g a w j m
gặn 1.0	g a w j n
gặng 1.0	g a w j n g
gặp 1.0	g a w j p
gặt 1.0	g a w j t
gỉ 1.0	g i r
gọi 1.0	g o j i
gọn 1.0	g o j n
gọt 1.0	g o j t
gỏi 1.0	g o r i
gỏng 1.0	g o r n g
gốc 1.0	g o o s c
gối 1.0	g o o s i
gốm 1.0	g o o s m
gồ 1.0	g o o f
gồm 1.0	g o o f m
gồng 1.0	g o o f n g
gổ 1.0	g o o r
gỗ 1.0	g o o x
gội 1.0	g o o j i
gộp 1.0	g o o j p
gớm 1.0	g o w s m
gờm 1.0	g o w f m
gởi 1.0	g o w r i
gỡ 1.0	g o w x
gợi 1.0	g o w j i
gợn 1.0	g o w j n
gợt 1.0	g o w j t
gụ 1.0	g u j
gục 1.0	g u j c
gửi 1.0	g u w r i
h 1.0	h
ha 1.0	h a
hai 1.0	h a i
ham 1.0	h a m
han 1.0	h a n
hang 1.0	h a n g
hao 1.0	h a o
hay 1.0	h a y
he 1.0	h e
hem 1.0	h e m
hen 1.0	h e n
heo 1.0	h e o
hi 1.0	h i
hia 1.0	h i a
hiu 1.0	h i u
hiên 1.0	h i e e n
hiêng 1.0	h i e e n g
hiếm 1.0	h i e e s m
hiến 1.0	h i e e s n
hiếp 1.0	h i e e s p
hiếu 1.0	h i e e s u
hiền 1.0	h i e e f n
hiểm 1.0	h i e e r m
hiển 1.0	h i e e r n
hiểu 1.0	h i e e r u
hiện 1.0	h i e e j n
hiệp 1.0	h i e e j p
hiệu 1.0	h i e e j u
ho 1.0	h o
hoa 1.0	h o a
hoan 1.0	h o a n
hoang 1.0	h o a n g
hoay 1.0	h o a y
hoi 1.0	h o i
hom 1.0	h o m
hoà 1.0	h o a f
hoài 1.0	h o a f i
hoàn 1.0	h o a f n
hoàng 1.0	h o a f n g
hoành 1.0	h o a f n h
hoá 1.0	h o a s
hoác 1.0	h o a s c
hoãn 1.0	h o a x n
hoét 1.0	h o e s t
hoạ 1.0	h o a j
hoạch 1.0	h o a j c h
hoại 1.0	h o a j i
hoạn 1.0	h o a j n
hoạnh 1.0	h o a j n h
hoạt 1.0	h o a j t
hoải 1.0	h o a r i
hoảng 1.0	h o a r n g
hoắc 1.0	h o a w s c
hoắt 1.0	h o a w s t
hoẳn 1.0	h o a w r n
hoặc 1.0	h o a w j c
hu 1.0	h u
hun 1.0	h u n
hung 1.0	h u n g
huy 1.0	h u y
huynh 1.0	h u y n h
huyên 1.0	h u y e e n
huyết 1.0	h u y e e s t
huyền 1.0	h u y e e f n
huyễn 1.0	h u y e e x n
huyện 1.0	h u y e e j n
huyệt 1.0	h u y e e j t
huân 1.0	h u a a n
huê 1.0	h u e e
huýt 1.0	h u y s t
huơ 1.0	h u o w
huấn 1.0	h u a a s n
huế 1.0	h u e e s
huếch 1.0	h u e e s c h
huề 1.0	h u e e f
huệ 1.0	h u e e j
huống 1.0	h u o o s n g
huỳnh 1.0	h u y f n h
huỷ 1.0	h u y r
hy 1.0	h y
hà 1.0	h a f
hài 1.0	h a f i
hàm 1.0	h a f m
hàn 1.0	h a f n
hàng 1.0	h a f n g
hành 1.0	h a f n h
hào 1.0	h a f o
hàu 1.0	h a f u
há 1.0	h a s
hái 1.0	h a s i
hám 1.0	h a s m
hán 1.0	h a s n
háng 1.0	h a s n g
háo 1.0	h a s o
hát 1.0	h a s t
hâm 1.0	h a a m
hân 1.0	h a a n
hãi 1.0	h a x i
hãn 1.0	h a x n
hãng 1.0	h a x n g
hãnh 1.0	h a x n h
hão 1.0	h a x o
hãy 1.0	h a x y
hè 1.0	h e f
hèn 1.0	h e f n
hé 1.0	h e s
héo 1.0	h e s o
hét 1.0	h e s t
hên 1.0	h e e n
hênh 1.0	h e e n h
hì 1.0	h i f
hình 1.0	h i f n h
hí 1.0	h i s
hít 1.0	h i s t
hò 1.0	h o f
hòa 1.0	h o f a
hòn 1.0	h o f n
hóa 1.0	h o s a
hóc 1.0	h o s c
hói 1.0	h o s i
hóm 1.0	h o s m
hóng 1.0	h o s n g
hót 1.0	h o s t
hô 1.0	h o o
hôi 1.0	h o o i
hôm 1.0	h o o m
hôn 1.0	h o o n
hông 1.0	h o o n g
hùa 1.0	h u f a
hùn 1.0	h u f n
hùng 1.0	h u f n g
hú 1.0	h u s
húc 1.0	h u s c
húi 1.0	h u s i
húng 1.0	h u s n g
húp 1.0	h u s p
hút 1.0	h u s t
húy 1.0	h u s y
hăm 1.0	h a w m
hăng 1.0	h a w n g
hĩnh 1.0	h i x n h
hũ 1.0	h u x
hũm 1.0	h u x m
hơi 1.0	h o w i
hơn 1.0	h o w n
hư 1.0	h u w
hưng 1.0	h u w n g
hưu 1.0	h u w u
hương 1.0	h u w o w n g
hươu 1.0	h u w o w u
hước 1.0	h u w o w s c
hướm 1.0	h u w o w s m
hướng 1.0	h u w o w s n g
hường 1.0	h u w o w f n g
hưởng 1.0	h u w o w r n g
hượm 1.0	h u w o w j m
hạ 1.0	h a j
hạc 1.0	h a j c
hạch 1.0	h a j c h
hại 1.0	h a j i
hạm 1.0	h a j m
hạn 1.0	h a j n
hạng 1.0	h a j n g
hạnh 1.0	h a j n h
hạo 1.0	h a j o
hạp 1.0	h a j p
hạt 1.0	h a j t
hả 1.0	h a r
hải 1.0	h a r i
hảm 1.0	h a r m
hảo 1.0	h a r o
hấng 1.0	h a a s n g
hấp 1.0	h a a s p
hất 1.0	h a a s t
hấu 1.0	h a a s u
hầm 1.0	h a a f m
hầu 1.0	h a a f u
hầy 1.0	h a a f y
hẩm 1.0	h a a r m
hẫng 1.0	h a a x n g
hận 1.0	h a a j n
hập 1.0	h a a j p
hậu 1.0	h a a j u
hắc 1.0	h a w s c
hắn 1.0	h a w s n
hắng 1.0	h a w s n g
hắt 1.0	h a w s t
hằn 1.0	h a w f n
hằng 1.0	h a w f n g
hẳn 1.0	h a w r n
hẵng 1.0	h a w x n g
hặc 1.0	h a w j c
hẹ 1.0	h e j
hẹn 1.0	h e j n
hẹp 1.0	h e j p
hẻm 1.0	h e r m
hến 1.0	h e e s n
hết 1.0	h e e s t
hề 1.0	h e e f
hể 1.0	h e e r
hển 1.0	h e e r n
hểnh 1.0	h e e r n h
hễ 1.0	h e e x
hệ 1.0	h e e j
hệt 1.0	h e e j t
hỉ 1.0	h i r
hỉnh 1.0	h i r n h
họ 1.0	h o j
họa 1.0	h o j a
học 1.0	h o j c
họe 1.0	h o j e
họng 1.0	h o j n g
họp 1.0	h o j p
hỏa 1.0	h o r a
hỏi 1.0	h o r i
hỏm 1.0	h o r m
hỏng 1.0	h o r n g
hố 1.0	h o o s
hốc 1.0	h o o s c
hối 1.0	h o o s i
hốt 1.0	h o o s t
hồ 1.0	h o o f
hồi 1.0	h o o f i
hồn 1.0	h o o f n
hồng 1.0	h o o f n g
hổ 1.0	h o o r
hổi 1.0	h o o r i
hổm 1.0	h o o r m
hổn 1.0	h o o r n
hổng 1.0	h o o r n g
hỗ 1.0	h o o x
hỗn 1.0	h o o x n
hộ 1.0	h o o j
hộc 1.0	h o o j c
hội 1.0	h o o j i
hộn 1.0	h o o j n
hộp 1.0	h o o j p
hột 1.0	h o o j t
hớ 1.0	h o w s
hớn 1.0	h o w s n
hớp 1.0	h o w s p
hớt 1.0	h o w s t
hờn 1.0	h o w f n
hở 1.0	h o w r
hởi 1.0	h o w r i
hợi 1.0	h o w j i
hợm 1.0	h o w j m
hợp 1.0	h o w j p
hụ 1.0	h u j
hục 1.0	h u j c
hụi 1.0	h u j i
hụt 1.0	h u j t
hủ 1.0	h u r
hủy 1.0	h u r y
hứa 1.0	h u w s a
hức 1.0	h u w s c
hứng 1.0	h u w s n g
hừ 1.0	h u w f
hừng 1.0	h u w f n g
hữu 1.0	h u w x u
hự 1.0	h u w j
hực 1.0	h u w j c
hựu 1.0	h u w j u
i 1.0	i
im 1.0	i m
in 1.0	i n
inh 1.0	i n h
k 1.0	k
ka 1.0	k a
kem 1.0	k e m
ken 1.0	k e n
keo 1.0	k e o
kha 1.0	k h a
khai 1.0	k h a i
khan 1.0	k h a n
khang 1.0	k h a n g
khanh 1.0	k h a n h
khao 1.0	k h a o
khe 1.0	k h e
khen 1.0	k h e n
kheo 1.0	k h e o
khi 1.0	k h i
khinh 1.0	k h i n h
khiêm 1.0	k h i e e m
khiên 1.0	k h i e e n
khiêng 1.0	k h i e e n g
khiêu 1.0	k h i e e u
khiếm 1.0	k h i e e s m
khiến 1.0	k h i e e s n
khiếp 1.0	k h i e e s p
khiết 1.0	k h i e e s t
khiếu 1.0	k h i e e s u
khiển 1.0	k h i e e r n
kho 1.0	k h o
khoa 1.0	k h o a
khoai 1.0	k h o a i
khoan 1.0	k h o a n
khoang 1.0	k h o a n g
khoanh 1.0	k h o a n h
khoe 1.0	k h o e
khom 1.0	k h o m
khoá 1.0	k h o a s
khoác 1.0	k h o a s c
khoái 1.0	k h o a s i
khoán 1.0	k h o a s n
khoát 1.0	k h o a s t
khoèo 1.0	k h o e f o
khoét 1.0	k h o e s t
khoăn 1.0	k h o a w n
khoải 1.0	k h o a r i
khoản 1.0	k h o a r n
khoảng 1.0	k h o a r n g
khoảnh 1.0	k h o a r n h
khoắt 1.0	k h o a w s t
khoẻ 1.0	k h o e r
khu 1.0	k h u
khua 1.0	k h u a
khum 1.0	k h u m
khung 1.0	k h u n g
khuy 1.0	k h u y
khuya 1.0	k h u y a
khuynh 1.0	k h u y n h
khuyên 1.0	k h u y e e n
khuyến 1.0	k h u y e e s n
khuyết 1.0	k h u y e e s t
khuân 1.0	k h u a a n
khuâng 1.0	k h u a a n g
khuây 1.0	k h u a a y
khuôn 1.0	k h u o o n
khuất 1.0	k h u a a s t
khuấy 1.0	k h u a a s y
khuẩn 1.0	k h u a a r n
khuỳnh 1.0	k h u y f n h
khuỷu 1.0	k h u y r u
khà 1.0	k h a f
khàn 1.0	k h a f n
khàng 1.0	k h a f n g
khá 1.0	k h a s
khác 1.0	k h a s c
khách 1.0	k h a s c h
khái 1.0	k h a s i
khám 1.0	k h a s m
khán 1.0	k h a s n
kháng 1.0	k h a s n g
khánh 1.0	k h a s n h
kháo 1.0	k h a s o
kháp 1.0	k h a s p
khát 1.0	k h a s t
khâm 1.0	k h a a m
khâu 1.0	k h a a u
khè 1.0	k h e f
khèn 1.0	k h e f n
khèo 1.0	k h e f o
khén 1.0	k h e s n
khéo 1.0	k h e s o
khép 1.0	k h e s p
khét 1.0	k h e s t
khê 1.0	k h e e
khênh 1.0	k h e e n h
khí 1.0	k h i s
khía 1.0	k h i s a
khích 1.0	k h i s c h
khít 1.0	k h i s t
khíu 1.0	k h i s u
khò 1.0	k h o f
khó 1.0	k h o s
khóa 1.0	k h o s a
khóc 1.0	k h o s c
khóe 1.0	k h o s e
khói 1.0	k h o s i
khô 1.0	k h o o
khôi 1.0	k h o o i
khôn 1.0	k h o o n
không 1.0	k h o o n g
khù 1.0	k h u f
khú 1.0	k h u s
khúc 1.0	k h u s c
khúm 1.0	k h u s m
khăm 1.0	k h a w m
khăn 1.0	k h a w n
khơ 1.0	k h o w
khơi 1.0	k h o w i
khư 1.0	k h u w
khươm 1.0	k h u w o w m
khươn 1.0	k h u w o w n
khương 1.0	k h u w o w n g
khước 1.0	k h u w o w s c
khạc 1.0	k h a j c
khạng 1.0	k h a j n g
khả 1.0	k h a r
khải 1.0	k h a r i
khảo 1.0	k h a r o
khảy 1.0	k h a r y
khấn 1.0	k h a a s n
khấp 1.0	k h a a s p
khất 1.0	k h a a s t
khấu 1.0	k h a a s u
khẩn 1.0	k h a a r n
khẩu 1.0	k h a a r u
khật 1.0	k h a a j t
khắc 1.0	k h a w s c
khắm 1.0	k h a w s m
khắng 1.0	k h a w s n g
khắp 1.0	k h a w s p
khắt 1.0	k h a w s t
khẳm 1.0	k h a w r m
khẳng 1.0	k h a w r n g
khẻ 1.0	k h e r
khẽ 1.0	k h e x
khế 1.0	k h e e s
khề 1.0	k h e e f
khều 1.0	k h e e f u
khệ 1.0	k h e e j
khệnh 1.0	k h e e j n h
khỉ 1.0	k h i r
khịt 1.0	k h i j t
khỏa 1.0	k h o r a
khỏe 1.0	k h o r e
khỏi 1.0	k h o r i
khố 1.0	k h o o s
khốc 1.0	k h o o s c
khối 1.0	k h o o s i
khốn 1.0	k h o o s n
khống 1.0	k h o o s n g
khổ 1.0	k h o o r
khổng 1.0	k h o o r n g
khớ 1.0	k h o w s
khớp 1.0	k h o w s p
khờ 1.0	k h o w f
khởi 1.0	k h o w r i
khụ 1.0	k h u j
khủng 1.0	k h u r n g
khứ 1.0	k h u w s
khứu 1.0	k h u w s u
khừ 1.0	k h u w f
khựng 1.0	k h u w j n g
ki 1.0	k i
kia 1.0	k i a
kim 1.0	k i m
kinh 1.0	k i n h
kiêm 1.0	k i e e m
kiên 1.0	k i e e n
kiêng 1.0	k i e e n g
kiêu 1.0	k i e e u
kiếm 1.0	k i e e s m
kiến 1.0	k i e e s n
kiếp 1.0	k i e e s p
kiềm 1.0	k i e e f m
kiền 1.0	k i e e f n
kiềng 1.0	k i e e f n g
kiều 1.0	k i e e f u
kiểm 1.0	k i e e r m
kiểng 1.0	k i e e r n g
kiểu 1.0	k i e e r u
kiệm 1.0	k i e e j m
kiện 1.0	k i e e j n
kiệt 1.0	k i e e j t
kiệu 1.0	k i e e j u
ko 1.0	k o
ky 1.0	k y
kè 1.0	k e f
kèm 1.0	k e f m
kèn 1.0	k e f n
kèo 1.0	k e f o
kém 1.0	k e s m
kén 1.0	k e s n
kéo 1.0	k e s o
kép 1.0	k e s p
két 1.0	k e s t
kê 1.0	k e e
kênh 1.0	k e e n h
kêu 1.0	k e e u
kì 1.0	k i f
kìa 1.0	k i f a
kìm 1.0	k i f m
kình 1.0	k i f n h
kí 1.0	k i s
kích 1.0	k i s c h
kín 1.0	k i s n
kính 1.0	k i s n h
kíp 1.0	k i s p
kít 1.0	k i s t
ký 1.0	k y s
kĩ 1.0	k i x
kẹn 1.0	k e j n
kẹo 1.0	k e j o
kẹp 1.0	k e j p
kẹt 1.0	k e j t
kẻ 1.0	k e r
kẻng 1.0	k e r n g
kẻo 1.0	k e r o
kẽ 1.0	k e x
kẽm 1.0	k e x m
kẽo 1.0	k e x o
kế 1.0	k e e s
kếch 1.0	k e e s c h
kết 1.0	k e e s t
kề 1.0	k e e f
kền 1.0	k e e f n
kềnh 1.0	k e e f n h
kể 1.0	k e e r
kệ 1.0	k e e j
kệnh 1.0	k e e j n h
kỉ 1.0	k i r
kỉnh 1.0	k i r n h
kị 1.0	k i j
kịch 1.0	k i j c h
kịp 1.0	k i j p
kịt 1.0	k i j t
kỳ 1.0	k y f
kỵ 1.0	k y j
kỷ 1.0	k y r
kỹ 1.0	k y x
la 1.0	l a
lai 1.0	l a i
lam 1.0	l a m
lan 1.0	l a n
lang 1.0	l a n g
lanh 1.0	l a n h
lao 1.0	l a o
lau 1.0	l a u
lay 1.0	l a y
le 1.0	l e
lem 1.0	l e m
len 1.0	l e n
leo 1.0	l e o
li 1.0	l i
lia 1.0	l i a
lim 1.0	l i m
lin 1.0	l i n
linh 1.0	l i n h
liu 1.0	l i u
liêm 1.0	l i e e m
liên 1.0	l i e e n
liêng 1.0	l i e e n g
liêu 1.0	l i e e u
liếc 1.0	l i e e s c
liếm 1.0	l i e e s m
liến 1.0	l i e e s n
liếng 1.0	l i e e s n g
liềm 1.0	l i e e f m
liền 1.0	l i e e f n
liều 1.0	l i e e f u
liễu 1.0	l i e e x u
liệng 1.0	l i e e j n g
liệt 1.0	l i e e j t
liệu 1.0	l i e e j u
lo 1.0	l o
loa 1.0	l o a
loan 1.0	l o a n
loanh 1.0	l o a n h
loay 1.0	l o a y
loi 1.0	l o i
lom 1.0	l o m
long 1.0	l o n g
loài 1.0	l o a f i
loàn 1.0	l o a f n
loàng 1.0	l o a f n g
loáng 1.0	l o a s n g
loãng 1.0	l o a x n g
loé 1.0	l o e s
loét 1.0	l o e s t
loại 1.0	l o a j i
loạn 1.0	l o a j n
loạng 1.0	l o a j n g
loạt 1.0	l o a j t
loảng 1.0	l o a r n g
loắt 1.0	l o a w s t
loằng 1.0	l o a w f n g
lu 1.0	l u
lua 1.0	l u a
lui 1.0	l u i
lung 1.0	l u n g
luyến 1.0	l u y e e s n
luyện 1.0	l u y e e j n
luân 1.0	l u a a n
luôn 1.0	l u o o n
luẩn 1.0	l u a a r n
luận 1.0	l u a a j n
luật 1.0	l u a a j t
luống 1.0	l u o o s n g
luồn 1.0	l u o o f n
luồng 1.0	l u o o f n g
luỗng 1.0	l u o o x n g
luộc 1.0	l u o o j c
ly 1.0	l y
là 1.0	l a f
lài 1.0	l a f i
làm 1.0	l a f m
làn 1.0	l a f n
làng 1.0	l a f n g
lành 1.0	l a f n h
lào 1.0	l a f o
làu 1.0	l a f u
lá 1.0	l a s
lác 1.0	l a s c
lách 1.0	l a s c h
lái 1.0	l a s i
láng 1.0	l a s n g
lánh 1.0	l a s n h
láo 1.0	l a s o
láp 1.0	l a s p
lát 1.0	l a s t
láu 1.0	l a s u
láy 1.0	l a s y
lâm 1.0	l a a m
lân 1.0	l a a n
lâng 1.0	l a a n g
lâu 1.0	l a a u
lây 1.0	l a a y
lã 1.0	l a x
lãi 1.0	l a x i
lãm 1.0	l a x m
lãn 1.0	l a x n
lãng 1.0	l a x n g
lãnh 1.0	l a x n h
lão 1.0	l a x o
lè 1.0	l e f
lèo 1.0	l e f o
lé 1.0	l e s
léc 1.0	l e s c
lém 1.0	l e s m
lén 1.0	l e s n
léng 1.0	l e s n g
léo 1.0	l e s o
lép 1.0	l e s p
lét 1.0	l e s t
lê 1.0	l e e
lên 1.0	l e e n
lênh 1.0	l e e n h
lêu 1.0	l e e u
lì 1.0	l i f
lìa 1.0	l i f a
lìm 1.0	l i f m
lình 1.0	l i f n h
lí 1.0	l i s
lính 1.0	l i s n h
líp 1.0	l i s p
lít 1.0	l i s t
líu 1.0	l i s u
lò 1.0	l o f
lòa 1.0	l o f a
lòi 1.0	l o f i
lòm 1.0	l o f m
lòng 1.0	l o f n g
lóc 1.0	l o s c
lóe 1.0	l o s e
lóm 1.0	l o s m
lóng 1.0	l o s n g
lót 1.0	l o s t
lô 1.0	l o o
lôi 1.0	l o o i
lôm 1.0	l o o m
lông 1.0	l o o n g
lõi 1.0	l o x i
lõm 1.0	l o x m
lõng 1.0	l o x n g
lù 1.0	l u f
lùa 1.0	l u f a
lùi 1.0	l u f i
lùm 1.0	l u f m
lùng 1.0	l u f n g
lú 1.0	l u s
lúa 1.0	l u s a
lúc 1.0	l u s c
lúi 1.0	l u s i
lúm 1.0	l u s m
lún 1.0	l u s n
lúng 1.0	l u s n g
lý 1.0	l y s
lăm 1.0	l a w m
lăn 1.0	l a w n
lăng 1.0	l a w n g
lĩnh 1.0	l i x n h
lũ 1.0	l u x
lũi 1.0	l u x i
lũm 1.0	l u x m
lũn 1.0	l u x n
lũng 1.0	l u x n g
lũy 1.0	l u x y
lơ 1.0	l o w
lơi 1.0	l o w i
lơn 1.0	l o w n
lư 1.0	l u w
lưng 1.0	l u w n g
lưu 1.0	l u w u
lươm 1.0	l u w o w m
lươn 1.0	l u w o w n
lương 1.0	l u w o w n g
lưới 1.0	l u w o w s i
lướng 1.0	l u w o w s n g
lướt 1.0	l u w o w s t
lười 1.0	l u w o w f i
lường 1.0	l u w o w f n g
lưỡi 1.0	l u w o w x i
lưỡng 1.0	l u w o w x n g
lược 1.0	l u w o w j c
lượm 1.0	l u w o w j m
lượn 1.0	l u w o w j n
lượng 1.0	l u w o w j n g
lượt 1.0	l u w o w j t
lạ 1.0	l a j
lạc 1.0	l a j c
lạch 1.0	l a j c h
lại 1.0	l a j i
lạm 1.0	l a j m
lạn 1.0	l a j n
lạng 1.0	l a j n g
lạnh 1.0	l a j n h
lạo 1.0	l a j o
lạp 1.0	l a j p
lạt 1.0	l a j t
lạy 1.0	l a j y
lả 1.0	l a r
lải 1.0	l a r i
lảm 1.0	l a r m
lảng 1.0	l a r n g
lảnh 1.0	l a r n h
lảy 1.0	l a r y
lấm 1.0	l a a s m
lấn 1.0	l a a s n
lấp 1.0	l a a s p
lất 1.0	l a a s t
lấy 1.0	l a a s y
lầm 1.0	l a a f m
lần 1.0	l a a f n
lầu 1.0	l a a f u
lầy 1.0	l a a f y
lẩm 1.0	l a a r m
lẩn 1.0	l a a r n
lẩu 1.0	l a a r u
lẫn 1.0	l a a x n
lẫy 1.0	l a a x y
lận 1.0	l a a j n
lập 1.0	l a a j p
lật 1.0	l a a j t
lậu 1.0	l a a j u
lắc 1.0	l a w s c
lắm 1.0	l a w s m
lắng 1.0	l a w s n g
lắp 1.0	l a w s p
lắt 1.0	l a w s t
lằn 1.0	l a w f n
lằng 1.0	l a w f n g
lẳm 1.0	l a w r m
lẳn 1.0	l a w r n
lẳng 1.0	l a w r n g
lặm 1.0	l a w j m
lặn 1.0	l a w j n
lặng 1.0	l a w j n g
lặp 1.0	l a w j p
lặt 1.0	l a w j t
lẹ 1.0	l e j
lẹm 1.0	l e j m
lẻ 1.0	l e r
lẻn 1.0	l e r n
lẻng 1.0	l e r n g
lẽ 1.0	l e x
lẽn 1.0	l e x n
lẽo 1.0	l e x o
lết 1.0	l e e s t
lếu 1.0	l e e s u
lề 1.0	l e e f
lềnh 1.0	l e e f n h
lều 1.0	l e e f u
lể 1.0	l e e r
lễ 1.0	l e e x
lệ 1.0	l e e j
lệch 1.0	l e e j c h
lệnh 1.0	l e e j n h
lỉm 1.0	l i r m
lỉnh 1.0	l i r n h
lịa 1.0	l i j a
lịch 1.0	l i j c h
lịm 1.0	l i j m
lịnh 1.0	l i j n h
lọ 1.0	l o j
lọc 1.0	l o j c
lọng 1.0	l o j n g
lọt 1.0	l o j t
lỏi 1.0	l o r i
lỏn 1.0	l o r n
lỏng 1.0	l o r n g
lố 1.0	l o o s
lốc 1.0	l o o s c
lối 1.0	l o o s i
lốm 1.0	l o o s m
lốp 1.0	l o o s p
lốt 1.0	l o o s t
lồ 1.0	l o o f
lồi 1.0	l o o f i
lồm 1.0	l o o f m
lồng 1.0	l o o f n g
lổm 1.0	l o o r m
lổng 1.0	l o o r n g
lỗ 1.0	l o o x
lỗi 1.0	l o o x i
lộ 1.0	l o o j
lộc 1.0	l o o j c
lội 1.0	l o o j i
lộn 1.0	l o o j n
lộng 1.0	l o o j n g
lộp 1.0	l o o j p
lột 1.0	l o o j t
lớn 1.0	l o w s n
lớp 1.0	l o w s p
lớt 1.0	l o w s t
lờ 1.0	l o w f
lời 1.0	l o w f i
lờm 1.0	l o w f m
lờn 1.0	l o w f n
lở 1.0	l o w r
lởi 1.0	l o w r i
lởn 1.0	l o w r n
lỡ 1.0	l o w x
lỡm 1.0	l o w x m
lợi 1.0	l o w j i
lợm 1.0	l o w j m
lợn 1.0	l o w j n
lợp 1.0	l o w j p
lụ 1.0	l u j
lụa 1.0	l u j a
lục 1.0	l u j c
lụng 1.0	l u j n g
lụp 1.0	l u j p
lụt 1.0	l u j t
lủ 1.0	l u r
lủi 1.0	l u r i
lủm 1.0	l u r m
lủng 1.0	l u r n g
lứa 1.0	l u w s a
lức 1.0	l u w s c
lứt 1.0	l u w s t
lừ 1.0	l u w f
lừa 1.0	l u w f a
lừng 1.0	l u w f n g
lử 1.0	l u w r
lửa 1.0	l u w r a
lửng 1.0	l u w r n g
lữ 1.0	l u w x
lữa 1.0	l u w x a
lững 1.0	l u w x n g
lựa 1.0	l u w j a
lực 1.0	l u w j c
lựu 1.0	l u w j u
lỵ 1.0	l y j
m 1.0	m
ma 1.0	m a
mai 1.0	m a i
man 1.0	m a n
mang 1.0	m a n g
manh 1.0	m a n h
mau 1.0	m a u
may 1.0	m a y
me 1.0	m e
men 1.0	m e n
mi 1.0	m i
min 1.0	m i n
minh 1.0	m i n h
miên 1.0	m i e e n
miêu 1.0	m i e e u
miếng 1.0	m i e e s n g
miết 1.0	m i e e s t
miếu 1.0	m i e e s u
miền 1.0	m i e e f n
miều 1.0	m i e e f u
miễn 1.0	m i e e x n
miện 1.0	m i e e j n
miệng 1.0	m i e e j n g
miệt 1.0	m i e e j t
mo 1.0	m o
mon 1.0	m o n
mong 1.0	m o n g
mu 1.0	m u
mua 1.0	m u a
mun 1.0	m u n
muôn 1.0	m u o o n
muông 1.0	m u o o n g
muối 1.0	m u o o s i
muốn 1.0	m u o o s n
muống 1.0	m u o o s n g
muốt 1.0	m u o o s t
muồi 1.0	m u o o f i
muỗi 1.0	m u o o x i
muỗm 1.0	m u o o x m
muỗng 1.0	m u o o x n g
muộn 1.0	m u o o j n
my 1.0	m y
mà 1.0	m a f
mài 1.0	m a f i
màn 1.0	m a f n
màng 1.0	m a f n g
mành 1.0	m a f n h
mào 1.0	m a f o
màu 1.0	m a f u
mày 1.0	m a f y
má 1.0	m a s
mác 1.0	m a s c
mách 1.0	m a s c h
mái 1.0	m a s i
mán 1.0	m a s n
máng 1.0	m a s n g
mánh 1.0	m a s n h
máo 1.0	m a s o
mát 1.0	m a s t
máu 1.0	m a s u
máy 1.0	m a s y
mâm 1.0	m a a m
mân 1.0	m a a n
mâu 1.0	m a a u
mây 1.0	m a a y
mã 1.0	m a x
mãi 1.0	m a x i
mãn 1.0	m a x n
mãng 1.0	m a x n g
mãnh 1.0	m a x n h
mè 1.0	m e f
mèn 1.0	m e f n
mèo 1.0	m e f o
mé 1.0	m e s
mém 1.0	m e s m
mén 1.0	m e s n
méo 1.0	m e s o
mép 1.0	m e s p
mét 1.0	m e s t
mê 1.0	m e e
mênh 1.0	m e e n h
mì 1.0	m i f
mìn 1.0	m i f n
mình 1.0	m i f n h
mí 1.0	m i s
mía 1.0	m i s a
míp 1.0	m i s p
mít 1.0	m i s t
míu 1.0	m i s u
mò 1.0	m o f
mòi 1.0	m o f i
mòn 1.0	m o f n
mòng 1.0	m o f n g
mó 1.0	m o s
móc 1.0	m o s c
mói 1.0	m o s i
móm 1.0	m o s m
món 1.0	m o s n
móng 1.0	m o s n g
móp 1.0	m o s p
mót 1.0	m o s t
